iter	Logloss
0	0.6919968914
1	0.6912757391
2	0.6904862765
3	0.6894143479
4	0.6886534865
5	0.6877162775
6	0.687008761
7	0.686096384
8	0.6854950841
9	0.6847203953
10	0.6835344065
11	0.682899434
12	0.6821421264
13	0.6813650747
14	0.6806205054
15	0.6797622247
16	0.6788959777
17	0.6779365747
18	0.6772679728
19	0.6767689531
20	0.6760248238
21	0.6750653744
22	0.674256326
23	0.6735783649
24	0.6729292323
25	0.6722378859
26	0.6715570695
27	0.6708738778
28	0.6703096618
29	0.6696420855
30	0.6689247829
31	0.6682925412
32	0.6676679042
33	0.6669718348
34	0.6663585403
35	0.66549234
36	0.6647783439
37	0.6639237093
38	0.6634472949
39	0.6627847904
40	0.6622586158
41	0.6615844361
42	0.6609199524
43	0.6603158007
44	0.6596984128
45	0.6589681396
46	0.658497427
47	0.6576612846
48	0.6572076132
49	0.656745504
50	0.6562553105
51	0.6556249427
52	0.6551561502
53	0.6545612582
54	0.653793428
55	0.6530693292
56	0.6523354943
57	0.6517108975
58	0.6510469945
59	0.6505327038
60	0.6500771683
61	0.6494966298
62	0.6487434571
63	0.6483437843
64	0.6479601962
65	0.6475045519
66	0.6469990633
67	0.6465402455
68	0.6459985072
69	0.6453019933
70	0.6449539695
71	0.6445171331
72	0.6440233819
73	0.6434877827
74	0.6428691626
75	0.6423578266
76	0.6418321442
77	0.6414443835
78	0.6409588066
79	0.640488393
80	0.6398691782
81	0.6392387373
82	0.6388718161
83	0.6383731529
84	0.6380463199
85	0.6376459798
86	0.6370779486
87	0.6365869043
88	0.6362053167
89	0.6359607032
90	0.6353585004
91	0.6348881658
92	0.6344637244
93	0.6340001913
94	0.63360494
95	0.6329657011
96	0.6326298129
97	0.6322834316
98	0.6318582421
99	0.6314538552
100	0.6310552231
101	0.6305860146
102	0.6300290916
103	0.6296178477
104	0.6292650929
105	0.6290799166
106	0.6286580841
107	0.6283046437
108	0.6280314613
109	0.6277363602
110	0.6274136598
111	0.6270413824
112	0.6267679884
113	0.6263770867
114	0.6260444025
115	0.6258466928
116	0.6254015378
117	0.6250827821
118	0.6246244065
119	0.6241717013
120	0.623720767
121	0.6232340916
122	0.622879581
123	0.6224761678
124	0.6219877154
125	0.6215802093
126	0.6210693952
127	0.6207184895
128	0.6201477288
129	0.6198840686
130	0.619656567
131	0.6192462587
132	0.6187879163
133	0.6183962049
134	0.6178978376
135	0.6174530906
136	0.6170746972
137	0.6165947698
138	0.6162167407
139	0.6158766883
140	0.6155755774
141	0.6151783524
142	0.6145775875
143	0.6143097141
144	0.6140844006
145	0.6137419829
146	0.6133377531
147	0.6130318607
148	0.6127416337
149	0.6123825004
150	0.6118990922
151	0.611527223
152	0.6112690904
153	0.6109094964
154	0.610589834
155	0.6102140352
156	0.6097709149
157	0.6094820046
158	0.6091030991
159	0.6087850664
160	0.6085134676
161	0.6083103416
162	0.607966206
163	0.6076581273
164	0.6074406471
165	0.6069805378
166	0.6066445045
167	0.6063293003
168	0.6059120349
169	0.6057472483
170	0.6053647553
171	0.6050539353
172	0.604951583
173	0.6045957026
174	0.6043235027
175	0.6039992093
176	0.6036097024
177	0.6032919317
178	0.60306091
179	0.6028215602
180	0.6023776538
181	0.6019166668
182	0.6016239668
183	0.6012420008
184	0.6008728031
185	0.6005897137
186	0.6003297177
187	0.5999025932
188	0.5994490431
189	0.5991361012
190	0.5988200544
191	0.598416686
192	0.598256008
193	0.5979300192
194	0.5977148249
195	0.5973753166
196	0.5971714269
197	0.5970393875
198	0.596889599
199	0.5965866558
200	0.5962035899
201	0.5959268657
202	0.5958436408
203	0.5955138316
204	0.5951467663
205	0.5948647954
206	0.5946221157
207	0.5944653585
208	0.5942637761
209	0.5939897651
210	0.5936246272
211	0.5934062513
212	0.5927782776
213	0.5924226306
214	0.5922169323
215	0.591883068
216	0.5916392304
217	0.5913533115
218	0.5911979965
219	0.5909337784
220	0.5907526271
221	0.590499572
222	0.5901269621
223	0.5897536491
224	0.5894413817
225	0.5890967502
226	0.5887982106
227	0.5884427614
228	0.5881399083
229	0.5879119538
230	0.5876061947
231	0.5874605747
232	0.5871251501
233	0.5868125019
234	0.5864962603
235	0.5862368551
236	0.5859883555
237	0.5856093452
238	0.5853544842
239	0.585147969
240	0.5849372469
241	0.5846635049
242	0.5842715967
243	0.5839951858
244	0.5837133258
245	0.5833124137
246	0.5830766942
247	0.5828502231
248	0.582618571
249	0.5822474382
250	0.582077576
251	0.5818798448
252	0.5817297297
253	0.5815771213
254	0.5814105835
255	0.5812144704
256	0.5809606576
257	0.5807347099
258	0.5805066559
259	0.5803069379
260	0.5800627182
261	0.5798304179
262	0.5796124425
263	0.5794051672
264	0.5790401593
265	0.5788551777
266	0.5786292379
267	0.5784362532
268	0.5782864905
269	0.5779617444
270	0.5777879954
271	0.5774894148
272	0.5773140924
273	0.5771322906
274	0.5769727995
275	0.5767015962
276	0.576401426
277	0.5762423138
278	0.5761175872
279	0.5759590122
280	0.5757766479
281	0.5756206552
282	0.5755253131
283	0.5753827556
284	0.575001427
285	0.5747601292
286	0.5744294054
287	0.5742374633
288	0.5740428599
289	0.5737286349
290	0.5733705515
291	0.5731322861
292	0.5729567686
293	0.5727340072
294	0.5725323355
295	0.572199763
296	0.5719845827
297	0.5718063626
298	0.5714847081
299	0.5712267722
300	0.5710277267
301	0.5707996614
302	0.5707326819
303	0.5703852871
304	0.5701380611
305	0.5699517248
306	0.5696177076
307	0.5693911191
308	0.5691634566
