iter	Logloss
0	0.5260880717
1	0.4806160659
2	0.474426741
3	0.4589554004
4	0.4503593873
5	0.4376948496
6	0.4274973494
7	0.4223256486
8	0.4202516534
9	0.4152335263
10	0.4135826197
11	0.4113139892
12	0.4076292059
13	0.4045994791
14	0.4002387229
15	0.3985287956
16	0.3968105959
17	0.3962792386
18	0.3947435872
19	0.3931943058
20	0.3917040021
21	0.3905879246
22	0.3894537594
23	0.3883137649
24	0.3869692342
25	0.3858887319
26	0.3850884598
27	0.3842823157
28	0.3833078963
29	0.3822010769
30	0.3816452026
31	0.3810971721
32	0.3802284927
33	0.3796059255
34	0.3789732858
35	0.3783938804
36	0.3779990378
37	0.3773787852
38	0.376763376
39	0.3760231961
40	0.3756671005
41	0.3753138339
42	0.3748206664
43	0.3743356426
44	0.3738079285
45	0.3735737318
46	0.3729773104
47	0.3724913008
48	0.3722488746
49	0.3718907646
50	0.3714987937
51	0.3711152666
52	0.3707521846
53	0.3701807515
54	0.3696802118
55	0.3692683102
56	0.3688361779
57	0.3686790038
58	0.36860421
59	0.3680008449
60	0.3677237864
61	0.3674715449
62	0.3669446452
63	0.3665907785
64	0.3662982898
65	0.3660261604
66	0.3656726366
67	0.3653661749
68	0.3650876163
69	0.3644575912
70	0.3643232624
71	0.3639307344
72	0.3636413317
73	0.3633497431
74	0.363182025
75	0.3628946369
76	0.3627068166
77	0.3622388518
78	0.3619528781
79	0.3616547317
80	0.3613997042
81	0.3611828236
82	0.3609158377
83	0.3606833983
84	0.3603673356
85	0.3601189088
86	0.3599245307
87	0.3598646957
88	0.3595925235
89	0.3594473507
90	0.3592711245
91	0.3589334595
92	0.3587163004
93	0.3583506466
94	0.3581182287
95	0.357943417
96	0.3576720377
97	0.3574920826
98	0.3573553964
99	0.3572770022
100	0.3570161455
101	0.3568006365
102	0.3565105481
103	0.3561475732
104	0.3558766226
105	0.3556219165
106	0.3553051038
107	0.3550931523
108	0.3548680638
109	0.3546253376
110	0.3543621449
111	0.3541416211
112	0.3538420602
113	0.3537136464
114	0.3534275869
115	0.3532325659
116	0.3530809638
117	0.3528555538
118	0.3526535034
119	0.352479056
120	0.3523905465
121	0.3520818132
122	0.3518998007
123	0.3516965287
124	0.3514885849
125	0.3512875203
126	0.3510585742
127	0.3508618601
128	0.3508127834
129	0.350684691
130	0.350581287
131	0.3504731896
132	0.3503305028
133	0.3500920414
134	0.3499657706
135	0.3498939986
136	0.3496605948
137	0.3494520723
138	0.3491729136
139	0.3489434103
140	0.3487231437
141	0.3485261296
142	0.3482516428
143	0.3480768954
144	0.3478507996
145	0.3476129168
146	0.3474051872
147	0.3472587071
148	0.3470995185
149	0.3468629644
150	0.346641712
151	0.3464948461
152	0.34621273
153	0.3460707075
154	0.3459917561
155	0.3458744435
156	0.3457097686
157	0.3456580344
158	0.3455003245
159	0.345285137
160	0.3450857227
161	0.3448677277
162	0.3447694243
163	0.3446007632
164	0.3445696884
165	0.3444600266
166	0.3443588943
167	0.3442888581
168	0.3440806142
169	0.3439793105
170	0.3438205933
171	0.3436904436
172	0.3434548324
173	0.3433068736
174	0.3431923684
175	0.3430633545
176	0.3429957615
177	0.3428500315
178	0.3427423199
179	0.342496379
180	0.3423351116
181	0.342156078
182	0.3419787589
183	0.3418212633
184	0.3417389259
185	0.3415349896
186	0.341395646
187	0.3412378718
188	0.341150841
189	0.3409383752
190	0.3407811368
191	0.3406194623
192	0.3405733859
193	0.3403939022
194	0.3402690459
195	0.3402201192
196	0.3401325526
197	0.3399418606
198	0.3398557942
199	0.3397379029
200	0.3396137109
201	0.3395243013
202	0.3394131178
203	0.3392777175
204	0.3391144999
205	0.3389568972
206	0.338846871
207	0.3387152425
208	0.3386263472
209	0.3384680159
210	0.3383612258
211	0.3382913182
212	0.3381906574
213	0.3380673441
214	0.337979456
215	0.3378699656
216	0.337750317
217	0.3375855778
218	0.3375214137
219	0.3374077443
220	0.3373666828
221	0.3372207599
222	0.3371474448
223	0.3370087013
224	0.3368697434
225	0.3367127622
226	0.3365670965
227	0.3364361752
228	0.3362888808
229	0.3361713967
230	0.3360593346
231	0.3359577522
232	0.3357356211
233	0.3356499618
234	0.3355548301
235	0.3354946094
236	0.3353616522
237	0.3352498901
238	0.335031338
239	0.3349166827
240	0.3347581156
241	0.3346250298
242	0.334514275
243	0.3343735598
244	0.3343393133
245	0.3342947585
246	0.3341822892
247	0.3340548612
248	0.3338923079
249	0.333802534
250	0.3336438168
251	0.333504066
252	0.3333718161
253	0.3333151099
254	0.3332441951
255	0.3331011226
256	0.3329816025
257	0.3328832133
258	0.332723339
259	0.3326319791
260	0.3325179882
261	0.3324221493
262	0.3323168808
263	0.3322503594
264	0.3321496985
265	0.3321164163
266	0.3320732974
267	0.3319249742
268	0.3318175412
269	0.3317452549
270	0.3316100474
271	0.3315429259
272	0.3314720968
273	0.3314155407
274	0.331295142
275	0.3312274204
276	0.3311276168
277	0.3310853765
278	0.3309882732
279	0.3308733394
280	0.3306737321
281	0.3306098895
282	0.3305071499
283	0.3304432858
284	0.3303875441
285	0.3302476647
286	0.3302130538
287	0.3301107642
288	0.3299938588
289	0.3298627018
290	0.3297490324
291	0.3296771532
292	0.3295968731
293	0.3294848539
294	0.3293846859
295	0.3291833856
296	0.3290539431
297	0.3289711341
298	0.3289074201
299	0.3288185034
300	0.3287917576
301	0.3287306796
302	0.328693047
