iter	Passed	Remaining
412	3216	4571
413	3221	4560
414	3227	4549
415	3233	4539
416	3239	4528
417	3244	4517
418	3251	4508
419	3257	4497
420	3262	4487
421	3269	4478
422	3276	4468
423	3283	4459
424	3288	4449
425	3295	4440
426	3300	4429
427	3306	4418
428	3312	4409
429	3318	4398
430	3323	4388
431	3330	4378
432	3335	4367
433	3340	4356
434	3348	4348
435	3354	4339
436	3362	4331
437	3368	4322
438	3375	4313
439	3381	4303
440	3386	4292
441	3393	4283
442	3398	4273
443	3404	4263
444	3411	4254
445	3416	4244
446	3422	4234
447	3427	4223
448	3434	4214
449	3441	4206
450	3447	4197
451	3455	4188
452	3461	4179
453	3467	4169
454	3476	4164
455	3485	4157
456	3494	4151
457	3500	4142
458	3506	4133
459	3512	4122
460	3517	4112
461	3523	4103
462	3528	4092
463	3533	4082
464	3540	4074
465	3546	4063
466	3552	4054
467	3558	4045
468	3564	4035
469	3571	4027
470	3577	4018
471	3584	4010
472	3590	4000
473	3596	3990
474	3603	3982
475	3608	3972
476	3614	3963
477	3621	3954
478	3626	3944
479	3633	3936
480	3639	3927
481	3645	3917
482	3652	3909
483	3657	3899
484	3663	3890
485	3669	3881
486	3676	3872
487	3683	3864
488	3688	3854
489	3694	3844
490	3701	3836
491	3706	3827
492	3713	3819
493	3719	3809
494	3725	3800
495	3731	3791
496	3737	3782
497	3742	3773
498	3748	3763
499	3754	3754
500	3761	3746
501	3766	3736
502	3772	3727
503	3780	3720
504	3788	3713
505	3796	3706
506	3802	3697
507	3810	3690
508	3817	3682
509	3824	3674
510	3832	3667
511	3838	3658
512	3845	3650
513	3850	3641
514	3857	3632
515	3862	3623
516	3868	3613
517	3874	3605
518	3881	3596
519	3887	3588
520	3894	3580
521	3900	3571
522	3906	3563
523	3912	3553
524	3917	3544
525	3923	3535
526	3928	3525
527	3933	3516
528	3940	3508
529	3945	3498
530	3950	3489
531	3956	3480
532	3961	3471
533	3967	3461
534	3973	3453
535	3979	3445
536	3987	3437
537	3991	3428
538	3997	3418
539	4003	3410
540	4009	3401
541	4014	3392
542	4020	3384
543	4026	3374
544	4031	3365
545	4038	3357
546	4043	3349
547	4050	3340
548	4055	3331
549	4060	3322
550	4067	3314
551	4072	3305
552	4078	3296
553	4085	3288
554	4090	3280
555	4097	3272
556	4102	3263
557	4107	3253
558	4114	3245
559	4119	3236
560	4124	3227
561	4129	3218
562	4135	3209
563	4140	3201
564	4147	3192
565	4152	3184
566	4157	3175
567	4164	3167
568	4170	3158
569	4175	3150
570	4182	3142
571	4189	3134
572	4196	3127
573	4201	3118
574	4207	3109
575	4214	3102
576	4219	3093
577	4225	3085
578	4231	3077
579	4236	3067
580	4243	3060
581	4248	3051
582	4254	3042
583	4260	3035
584	4266	3026
585	4271	3018
586	4278	3010
587	4284	3002
588	4291	2994
589	4297	2986
590	4302	2977
591	4308	2969
592	4313	2960
593	4319	2952
594	4326	2945
595	4331	2936
596	4337	2928
597	4343	2920
598	4349	2911
599	4355	2903
600	4360	2895
601	4366	2886
602	4373	2879
603	4378	2870
604	4384	2862
605	4391	2854
606	4397	2847
607	4404	2839
608	4409	2831
609	4415	2823
610	4421	2815
611	4427	2806
612	4432	2798
613	4439	2791
614	4445	2782
615	4452	2775
616	4458	2767
617	4464	2759
618	4471	2751
619	4477	2744
620	4484	2736
621	4492	2730
622	4502	2724
623	4508	2716
624	4515	2709
625	4523	2702
626	4530	2695
627	4537	2687
628	4544	2680
629	4550	2672
630	4556	2664
631	4562	2656
632	4568	2648
633	4574	2640
634	4579	2632
635	4586	2624
636	4592	2617
637	4599	2609
638	4604	2601
639	4610	2593
640	4616	2585
641	4622	2577
642	4629	2570
643	4634	2562
644	4640	2554
645	4647	2546
646	4653	2538
647	4658	2530
648	4664	2522
649	4670	2514
650	4677	2507
651	4682	2499
652	4689	2491
653	4695	2484
654	4702	2476
655	4708	2469
656	4714	2461
657	4719	2453
658	4727	2446
659	4733	2438
660	4739	2430
661	4745	2422
662	4750	2414
663	4757	2407
664	4762	2399
665	4768	2391
666	4774	2383
667	4780	2375
668	4786	2368
669	4792	2360
670	4799	2353
671	4806	2346
672	4813	2338
673	4821	2331
674	4827	2324
675	4833	2316
676	4841	2309
677	4847	2302
678	4856	2295
679	4862	2288
680	4871	2282
681	4878	2274
682	4886	2267
683	4891	2259
684	4897	2252
685	4904	2244
686	4910	2237
