iter	MultiClass
259	0.219852911
260	0.2196081022
261	0.2192425768
262	0.2189328263
263	0.2184324139
264	0.2174458319
265	0.2168266484
266	0.2159418971
267	0.2154030732
268	0.214470928
269	0.2143558179
270	0.213731184
271	0.2130171442
272	0.2125281542
273	0.2121960686
274	0.2112472736
275	0.2110541287
276	0.210823821
277	0.2105924628
278	0.2096752447
279	0.20910306
280	0.2082703049
281	0.2076849592
282	0.2073232059
283	0.2066736545
284	0.2060564911
285	0.2055412023
286	0.2050018522
287	0.2043536727
288	0.2037239108
289	0.2033984982
290	0.2025641047
291	0.2020956169
292	0.2016699472
293	0.2012374728
294	0.2004882461
295	0.1999635954
296	0.1996534431
297	0.1994130182
298	0.1986870515
299	0.198068986
300	0.1976257899
301	0.1971185234
302	0.1967860927
303	0.1961346735
304	0.1958251132
305	0.1953848261
306	0.1947087607
307	0.1941520396
308	0.1934893704
309	0.1931810273
310	0.1925178436
311	0.1916065483
312	0.1911757742
313	0.1906239181
314	0.1903770469
315	0.1899396567
316	0.189436345
317	0.1889185817
318	0.188148929
319	0.187743596
320	0.1875606555
321	0.1870267624
322	0.1864464095
323	0.1859897414
324	0.1854277564
325	0.1847759953
326	0.1846161866
327	0.1841601425
328	0.1835764476
329	0.1830423823
330	0.1825451507
331	0.1819138878
332	0.1816227075
333	0.1812554375
334	0.180713876
335	0.1801880977
336	0.1796536371
337	0.1788988833
338	0.178374706
339	0.1780801306
340	0.1778376609
341	0.1774247514
342	0.1769486072
343	0.1765240164
344	0.1760570049
345	0.1756965683
346	0.1754150096
347	0.1751725157
348	0.1748408943
349	0.1743570716
350	0.1739371269
351	0.1732582483
352	0.1726344652
353	0.1722312142
354	0.1714370373
355	0.1708877126
356	0.1705445115
357	0.170282771
358	0.1696561481
359	0.1692070433
360	0.1689953732
361	0.1688629374
362	0.1684482062
363	0.1681108818
364	0.1677139541
365	0.167304633
366	0.1668995861
367	0.1664581555
368	0.1661962931
369	0.1658806788
370	0.1653301091
371	0.1650648424
372	0.1647185715
373	0.1644821088
374	0.1641652453
375	0.1635344888
376	0.1631741043
377	0.1629017848
378	0.1623107691
379	0.1618221222
380	0.1614697603
381	0.1609061535
382	0.1606549204
383	0.1604506861
384	0.1599780516
385	0.1596406485
386	0.1590364206
387	0.1585972288
388	0.1579943785
389	0.1575708068
390	0.1571394508
391	0.1569349713
392	0.1564086072
393	0.1559863472
394	0.1555837855
395	0.1550788353
396	0.1548491639
397	0.1545428008
398	0.1542746145
399	0.1537764637
400	0.1533416356
401	0.1528785708
402	0.1523140346
403	0.1520038532
404	0.1518601411
405	0.1515960148
406	0.1511529683
407	0.1507840524
408	0.150455793
409	0.1500659793
410	0.1495933276
411	0.1492028978
412	0.1487128456
413	0.1481786485
414	0.1480280173
415	0.1476928548
416	0.1473565098
417	0.147122331
418	0.146813118
419	0.1465033887
420	0.146182578
421	0.1458344246
422	0.14536965
423	0.1452195365
424	0.1450348215
425	0.1448511616
426	0.1445598115
427	0.1442321021
428	0.1437154871
429	0.1432803451
430	0.143011767
431	0.142622524
432	0.1423011149
433	0.1419501289
434	0.1416101054
435	0.1413551657
436	0.1408900164
437	0.1405464771
438	0.1400934022
439	0.1399003951
440	0.1392587796
441	0.1390764221
442	0.1387473659
443	0.1382548596
444	0.1379232768
445	0.1375808989
446	0.1372273973
447	0.1370521466
448	0.1367052142
449	0.1362855575
450	0.1360043579
451	0.1357266262
452	0.1353763325
453	0.135075977
454	0.1347125911
455	0.134456746
456	0.1342239998
457	0.1339008839
458	0.1337557507
459	0.1331509811
460	0.1328300116
461	0.1325619979
462	0.132261215
463	0.1317924911
464	0.1314500778
465	0.13120535
466	0.1309673805
467	0.1307830736
468	0.1304245945
469	0.1300039417
470	0.1298368126
471	0.1296779253
472	0.1294278102
473	0.1292693128
474	0.1290118464
475	0.1285174532
476	0.1282123322
477	0.1278362394
478	0.1277011067
479	0.1273472527
480	0.1271362335
481	0.1267777664
482	0.1264463727
483	0.1262692225
484	0.1260187122
485	0.1256980377
